episode,episode_reward,smoothed_reward
203,-3916.0,-194108.31000000003
204,-3919.0,-194108.27000000002
205,-1004250.0,-194109.23
206,-4628.0,-194114.40999999997
207,-4283.0,-214110.52999999997
208,-4294.0,-214119.52
209,-4276.0,-214123.61
210,-1004331.0,-214124.0
211,-3892.0,-224109.95
212,-4630.0,-214121.21000000002
213,-4781.0,-214113.37
214,-2002607.0,-214122.59
215,-5504.0,-214116.96999999997
216,-4100.0,-214114.68999999994
217,-3994.0,-214108.79
218,-3754.0,-214102.67
219,-3582.0,-204102.99
220,-4645.0,-214111.25000000003
221,-4516.0,-214112.57000000004
222,-1004625.0,-214106.81000000003
223,-3389.0,-214103.65000000002
224,-3716.0,-204112.67
225,-3431.0,-204119.87
226,-3456.0,-204128.12
227,-3261.0,-204122.9
228,-3517.0,-204135.03
229,-2003830.0,-204128.09
230,-4693.0,-204119.92999999996
231,-3930.0,-204119.93
232,-3921.0,-204128.78999999998
233,-4667.0,-204130.01
234,-3380.0,-234119.81
235,-2002903.0,-234116.69000000003
236,-3351.0,-234113.25000000003
237,-4276.0,-244112.91
238,-3567.0,-244105.58
239,-4274.0,-244107.05
240,-3880.0,-254108.49
241,-4274.0,-264104.69
242,-4832.0,-244116.11
243,-4248.0,-244106.35
244,-3916.0,-244099.75
245,-5216.0,-264079.38
246,-1003578.0,-274082.71
247,-4238.0,-284080.73
248,-4237.0,-274077.9
249,-4296.0,-274074.04
250,-4272.0,-274077.56
251,-3229.0,-264072.44
252,-4264.0,-264075.52
253,-4274.0,-264079.24
254,-3870.0,-284082.28
255,-4280.0,-284085.95
256,-2003890.0,-274094.97
257,-4280.0,-284094.39
258,-1004272.0,-284103.88
259,-4300.0,-284103.70000000007
260,-1003019.0,-284098.20000000007
261,-4512.0,-274092.61
262,-3886.0,-284089.43999999994
263,-4832.0,-284094.81
264,-4286.0,-284089.99999999994
265,-3724.0,-264106.86999999994
266,-3892.0,-264084.41
267,-4020.0,-264086.64
268,-4302.0,-264083.93999999994
269,-1005120.0,-264083.25999999995
270,-3882.0,-264092.7899999999
271,-3910.0,-264089.19999999995
272,-4316.0,-264083.3299999999
273,-4816.0,-254070.91999999998
274,-4690.0,-254079.7
275,-1003820.0,-254088.94000000003
276,-3758.0,-254093.90000000002
277,-4643.0,-254098.62000000002
278,-3950.0,-254105.32
279,-4224.0,-254121.83000000002
280,-3907.0,-234129.61
281,-5162.0,-234116.63999999998
282,-3988.0,-234120.63999999996
283,-3002732.0,-244123.91
284,-4284.0,-244114.53999999998
285,-3974.0,-244119.91000000003
286,-1004246.0,-224137.64000000004
287,-3909.0,-224150.31000000003
288,-4060.0,-224155.69000000003
289,-1003868.0,-224155.18000000002
290,-1004254.0,-224149.84
291,-4650.0,-224139.67
292,-3620.0,-224136.66999999998
293,-3942.0,-224127.47999999998
294,-2002251.0,-224130.19
295,-1004246.0,-224130.08
296,-1003386.0,-224123.90000000002
297,-4300.0,-214127.23
298,-4296.0,-214131.15
299,-4644.0,-214135.52
300,-3905.0,-214135.27999999997
301,-4659.0,-214135.41999999998
302,-4304.0,-214146.13999999998
303,-2004220.0,-214142.81
304,-4286.0,-214139.59
305,-5152.0,-214147.68999999997
306,-1004570.0,-214140.28
307,-5232.0,-194144.08
308,-4276.0,-194148.33000000002
309,-3726.0,-184146.37
310,-3772.0,-184134.21
311,-1003575.0,-174143.19
312,-5167.0,-174135.55000000002
313,-4300.0,-174148.97000000003
314,-4294.0,-174143.27000000002
315,-3258.0,-174139.32000000004
316,-4323.0,-174137.94
317,-3724.0,-174141.9
318,-3686.0,-174141.46
319,-4535.0,-174137.28
320,-4286.0,-164128.84
321,-3929.0,-164129.68
322,-3384.0,-174129.72000000003
323,-4267.0,-184125.88000000003
324,-4640.0,-184124.47000000003
325,-3927.0,-184116.93
326,-3928.0,-174125.36
